DenoiserType,Channel,PSNR,SI-PSNR,SSIM,TotalRuntime
Wavelet,0,23.58645189609178,25.470749141068957,0.6462255297677929,1.4126644134521484
Wavelet,1,23.12974191183466,25.657975465020396,0.559267345851703,1.4126644134521484
Wavelet,2,25.582835741024386,28.142992054685685,0.6397937222386553,1.4126644134521484
