DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
TV-ISO,0.1,001,0,23.0783680072876,30.156026961750836,0.5391364847864469,7.512297868728638
TV-ISO,0.1,002,0,34.970773620767275,36.757484933708554,0.879932772171551,7.225013017654419
TV-ISO,0.1,003,0,34.583598283469314,34.89936666053979,0.9137891691879035,7.559437990188599
TV-ISO,0.1,004,0,31.106347579004034,35.277967391603,0.7833455084789183,7.4056689739227295
TV-ISO,0.1,005,0,25.686111795657425,32.090030430666005,0.7116401183060234,7.294182062149048
TV-ISO,0.1,006,0,23.052343697063368,30.650438041022685,0.6288820226705103,8.43421196937561
TV-ISO,0.1,007,0,25.576312485747327,32.314986754992184,0.6794045398643432,7.941105842590332
TV-ISO,0.1,008,0,22.885833235238074,31.37598105782594,0.6876453607299441,9.804931163787842
TV-ISO,0.1,009,0,25.25166844947959,31.485082979327007,0.6639664358076955,11.462843894958496
TV-ISO,0.1,010,0,21.955038081332717,30.32952123721934,0.6788986579626555,8.548669338226318
TV-ISO,0.1,011,0,23.937050484080228,34.167272576458856,0.6402224723047266,9.177772045135498
TV-ISO,0.1,012,0,25.421038165473927,32.26971614749007,0.7706029271849943,7.974661827087402
TV-ISO,0.1,013,0,23.035244406763606,29.340850048279936,0.7232933325581763,8.78967022895813
TV-ISO,0.1,014,0,22.841848393028386,32.3798594220336,0.6213090549368074,8.89690899848938
TV-ISO,0.1,015,0,27.237608428041074,33.060722662318256,0.5572744505807083,7.7438437938690186
TV-ISO,0.1,016,0,22.271828676839274,31.844421250719765,0.6478712790094122,7.409859657287598
TV-ISO,0.1,017,0,20.106782353508365,30.09655764354037,0.4610058103776755,7.446943998336792
TV-ISO,0.1,018,0,28.336165421174343,32.025650520191164,0.7986083199993105,7.078736305236816
TV-ISO,0.1,019,0,26.2524874976167,32.9515484411373,0.6039465317570466,7.056029319763184
TV-ISO,0.1,020,0,17.4387959137426,27.57974174042139,0.38544109359348416,7.380799293518066
TV-ISO,0.1,021,0,19.598390384093488,28.19713870329421,0.5460139103333351,7.397958278656006
TV-ISO,0.1,022,0,29.879138874751415,32.036468532997866,0.8499690568803597,7.198837041854858
TV-ISO,0.1,023,0,28.36173089441062,32.44395093846815,0.7353563734247369,8.440134048461914
TV-ISO,0.1,024,0,25.65302176676205,31.20368784062075,0.621397357032491,8.372673988342285
TV-ISO,0.1,025,0,31.06335608960528,33.389058268676514,0.6995965784366739,8.385488033294678
TV-ISO,0.1,026,0,33.439328412786544,33.656069212881725,0.8639661141073682,8.59148907661438
TV-ISO,0.1,027,0,34.731574942846585,35.87253269231164,0.8707916707880232,7.747955083847046
TV-ISO,0.1,028,0,33.019747871125205,33.10289883190344,0.8845340024004135,6.593087911605835
