DenoiserType,Parameter,ImageIndex,Channel,PSNR,SSIM,Runtime,RAM Usage
Gaussian,sigma=2.5,001,0,30.7644459822148,0.8961307742597847,0.0031359195709228516,0.59375
Gaussian,sigma=2.5,001,1,31.252586900607827,0.8091881579467273,0.0033600330352783203,0.6875
Gaussian,sigma=2.5,001,2,28.742036632757056,0.8009046035108883,0.0031728744506835938,0.484375
Gaussian,sigma=2.5,002,0,36.6166656686224,0.977601067652062,0.003448963165283203,0.953125
Gaussian,sigma=2.5,002,1,40.512666839547805,0.9773988534433568,0.0030930042266845703,0.0
Gaussian,sigma=2.5,002,2,39.923069868959104,0.9648479886451097,0.0030999183654785156,0.546875
Gaussian,sigma=3,001,0,30.70393957089566,0.8956214297687062,0.003996849060058594,0.5625
Gaussian,sigma=3,001,1,31.08422719651187,0.8147415685758893,0.0036020278930664062,0.515625
Gaussian,sigma=3,001,2,32.379320252496655,0.8373005842486047,0.003612995147705078,0.515625
Gaussian,sigma=3,002,0,33.79183631418692,0.9745615495745162,0.0037348270416259766,0.484375
Gaussian,sigma=3,002,1,37.40066044205585,0.9744189771796171,0.0038971900939941406,0.0
Gaussian,sigma=3,002,2,35.71797843097115,0.9678192439839046,0.0034542083740234375,0.0
Gaussian,sigma=3.5,001,0,29.70476641878762,0.8825586710961528,0.003972768783569336,0.015625
Gaussian,sigma=3.5,001,1,29.825073711846436,0.8076049290881123,0.004503011703491211,0.015625
Gaussian,sigma=3.5,001,2,32.934371131536516,0.8568972674261695,0.0043277740478515625,0.984375
Gaussian,sigma=3.5,002,0,36.28574675233586,0.9728672386999354,0.004091978073120117,0.078125
Gaussian,sigma=3.5,002,1,38.03517178279529,0.9732137902650351,0.004218101501464844,1.0
Gaussian,sigma=3.5,002,2,38.957156405664136,0.9687709231098532,0.003981113433837891,0.0
Median,size=5,001,0,26.806013795897062,0.8219846710535967,0.08497309684753418,-19.484375
Median,size=5,001,1,26.352685657339336,0.638062397236147,0.09034204483032227,0.0
Median,size=5,001,2,24.84147594138726,0.4865368398550619,0.08548688888549805,0.8125
Median,size=5,002,0,34.160625474193765,0.9463417488950275,0.08581089973449707,0.015625
Median,size=5,002,1,37.6148498468783,0.9475283431918103,0.08671903610229492,0.015625
Median,size=5,002,2,34.5649148607917,0.8697309377546786,0.08502817153930664,0.53125
Median,size=8,001,0,28.73157659671715,0.8746521136639207,0.18617916107177734,0.03125
Median,size=8,001,1,27.012147108661964,0.7390169928720457,0.193742036819458,0.0
Median,size=8,001,2,26.69798139774326,0.6992043536424143,0.19381499290466309,0.03125
Median,size=8,002,0,36.248480724340396,0.9679499604837325,0.1923668384552002,0.0
Median,size=8,002,1,37.35307756892533,0.9650731810678308,0.19408297538757324,0.0
Median,size=8,002,2,37.235625327843884,0.9394092298628162,0.20030593872070312,0.046875
Median,size=10,001,0,26.6396198486759,0.8697108225171706,0.27509307861328125,0.125
Median,size=10,001,1,28.034631305623186,0.7592357589467181,0.2925591468811035,0.640625
Median,size=10,001,2,28.645689689197795,0.7652799841179777,0.28925228118896484,0.109375
Median,size=10,002,0,33.20309325439685,0.9664811956493687,0.2843589782714844,0.59375
Median,size=10,002,1,38.31483989971831,0.9660191036586927,0.3190600872039795,0.0
Median,size=10,002,2,37.46742177363541,0.9531712323679707,0.2903480529785156,0.609375
