ImageIndex,Channel,PSNR,SSIM
001,Channel 0,32.10434840554356,0.8855969279674715
001,Channel 1,30.72068447780451,0.7857151382567913
001,Channel 2,29.96039059759134,0.7229099126911261
002,Channel 0,38.705354538163526,0.9765385608078683
002,Channel 1,39.77498478174952,0.976557883129527
002,Channel 2,35.32644966849134,0.9520165855851819
