DenoiserType,Parameter,Channel,PSNR,SI-PSNR,SSIM,Runtime,RAM Usage
Gaussian,sigma = 2.5,0,23.95939946105234,34.319541986138255,0.8197222858400566,0.0043235599994659426,1.099609375
Gaussian,sigma = 2.5,1,22.295741719195732,32.87743481525127,0.7511157822867977,0.004153992732365926,0.7615885416666667
Gaussian,sigma = 2.5,2,24.183902973672616,35.135332495715055,0.80700240081164,0.004146510362625122,0.7795572916666667
Gaussian,sigma = 3,0,23.741301653877844,33.23373693139074,0.8082837853067054,0.004602491855621338,0.726171875
Gaussian,sigma = 3,1,22.3199863677309,32.441384122111444,0.7375801844298945,0.004895047346750895,0.9709635416666667
Gaussian,sigma = 3,2,24.05108570672825,34.8501332587481,0.8039238598666449,0.00506125291188558,1.234375
Gaussian,sigma = 3.5,0,23.714676029379838,32.209273147466455,0.79607895707382,0.005394430955251058,1.4203125
Gaussian,sigma = 3.5,1,22.0777942370496,31.94473367871188,0.7256172107662058,0.004938069979349772,0.86875
Gaussian,sigma = 3.5,2,23.80781324825941,34.35846509683487,0.8013028868052275,0.0054632782936096195,1.296484375
