Image,Channel,PSNR,SI-PSNR,SSIM
001,0,21.781009937587264,33.52852375357077,0.8345300568100544
002,0,26.690136859531513,40.96729209872663,0.845844407106055
003,0,27.725246602688358,40.131021023402795,0.872858191187181
004,0,25.155890322999728,39.48317423577034,0.891550117285766
005,0,22.478145841365933,37.260630858625696,0.8535693236741387
006,0,23.303186152894902,34.89149985838861,0.7636547604863685
007,0,21.59451095689018,35.78018867229768,0.8510856098077776
008,0,19.77465588990042,34.7508971625181,0.7792282282088218
009,0,21.624753871714894,34.79026505365275,0.8224016999212547
010,0,20.00534077758267,34.02315335355517,0.8018253864178777
011,0,22.035846677646184,36.88917314921858,0.8588244567288656
012,0,22.271245937220545,35.28644289325028,0.8026316111063715
013,0,18.196512877561652,32.26450767640203,0.7129921581026776
014,0,21.449415598691,35.193715660207545,0.8228139182686208
015,0,24.163288540402593,36.9073562507076,0.8653857163718216
016,0,18.496238284408008,34.33977564759042,0.7851273098815341
017,0,18.573747190103123,32.760951099703675,0.8097545007456561
018,0,24.734034976061785,37.49595698211782,0.8540268776762381
019,0,25.28595933843421,37.881990801906234,0.8652095296453065
020,0,19.69395200809862,30.603832198458445,0.7183006149767514
021,0,18.97860240441969,31.384756679599093,0.7534648529404449
022,0,23.763256031443426,35.77702098588893,0.8126670905368902
023,0,25.528971884205596,37.11311552195952,0.850608410064634
024,0,19.886317317034713,34.56688658576309,0.8309599426881511
025,0,28.985495217776606,37.75150570303528,0.8244241468679427
026,0,26.533656513807347,38.493171950377274,0.8588196410365238
027,0,27.08543685172025,40.32775654295932,0.8443487553266928
028,0,24.550048579910587,37.7409909342536,0.8244670599215942
029,0,22.221743351847778,36.10334580133526,0.8331330156444879
030,0,25.029918724631006,36.69292621298854,0.8499064701733923
031,0,28.671308071980263,39.035356870659776,0.8921438888891142
032,0,24.7219802277697,36.715168864826154,0.8116605971691154
033,0,26.030400703055633,40.59924376013706,0.9317749021067073
034,0,22.72189459807237,35.787694783856374,0.8418842460275436
035,0,25.99490950883474,39.542222486766285,0.8629179012053507
036,0,25.671910372546453,37.66013249209688,0.8902496490935111
037,0,23.58342788705675,36.80186198307753,0.8771776454651596
038,0,39.5997481395548,44.69426199976816,0.9238327096117733
039,0,22.629532041048734,37.212740651444385,0.8676402878492777
040,0,28.623040195804723,37.52989142770836,0.899149287846188
041,0,20.656536970026988,36.718497472338434,0.8239365746347709
042,0,26.02955297710201,37.175690717338384,0.9070922207585167
043,0,23.58410800069404,38.06354038113846,0.8012558967120139
044,0,26.654895190901556,38.62499646011859,0.8761599666007032
045,0,21.30175591811271,36.00324353536733,0.8423510253023316
046,0,20.920220107004344,33.961746863926166,0.8366799778439713
047,0,25.761828111822453,39.4042850226624,0.837735414812624
048,0,28.620267392742523,41.56335608992991,0.9227788375894554
049,0,26.152056910536423,37.798726704532044,0.7880164196601638
050,0,34.829199205456604,44.373275895960916,0.8681470881609716
051,0,25.26727481397336,40.47391495789122,0.8715429086973097
052,0,28.84593023839998,39.35632919324209,0.8998827258180109
053,0,30.52302639184305,41.27499653724732,0.8243135601126014
054,0,28.960601973191142,40.733312563919526,0.8104345448455799
055,0,26.777200628830652,38.28755617340529,0.8730129188685416
056,0,25.643458336313962,38.83607446050813,0.8471986659649678
057,0,26.872393761266387,38.668901270358155,0.9018232074535948
058,0,27.145939002713455,39.42183883499506,0.8300609514069333
059,0,22.55445544955585,37.63544111256051,0.8174745721921872
060,0,26.121377605645286,37.606196192555984,0.822532782800553
061,0,26.57837537150821,38.384037951162185,0.8469744003040373
062,0,24.398856288516907,39.3943933270587,0.8866841144306454
063,0,25.41631610841041,37.953021351533565,0.8503897304197116
064,0,25.042979445429218,36.08879064124279,0.8221447896830377
065,0,25.001420681933478,39.4361612282284,0.8283877504104006
066,0,25.160743111099904,38.955368667923395,0.8042953240105022
067,0,28.967396019157118,39.55674617497387,0.7748785246170489
068,0,25.395494408774304,39.90320710438834,0.8163498581583868
069,0,23.235066920145854,35.68045108559145,0.8757256766187678
070,0,24.87284191238533,39.381853241753234,0.9121151049874199
071,0,26.191706312477425,40.018057859480194,0.8372888700830081
072,0,23.42346046202668,35.278187771258814,0.8712279274944108
073,0,22.949931981952165,35.65748552070075,0.8309124075278965
074,0,20.638701974821565,31.493301754501644,0.7815724180822889
075,0,27.03210282433166,35.983460864498625,0.8578276424849666
076,0,23.061189170994933,37.98226241073663,0.8286469624057903
077,0,23.750151356719677,36.33808835631609,0.8467628009035982
078,0,19.78584483151972,31.500606760544933,0.7664069582971684
079,0,23.283108208083036,36.608152044693966,0.8497894868016638
080,0,22.83437239151263,36.238289047681114,0.8845998251193917
081,0,19.807819852054397,36.171709399670576,0.8466275731622931
082,0,21.57485330213997,34.94953139023872,0.8433591232012211
083,0,24.809438184190668,37.651577460238734,0.8967145200138572
084,0,26.55252238722465,37.222105608249706,0.884829025166141
085,0,27.876639884154876,39.88294900960827,0.910397777190661
086,0,21.637339780060344,35.4402601652105,0.8714154889200268
087,0,25.656732903961693,36.51716179123438,0.8918521862910644
088,0,21.34630357572082,36.779300792793094,0.8631636650993008
089,0,20.145930810199285,33.96590468455564,0.8330262701222314
090,0,27.536228320105355,37.952016297067544,0.8070369887857335
091,0,23.54997800022279,36.17698565175023,0.8041977523174673
092,0,22.16193904094102,33.65870906040322,0.8275497592358505
093,0,20.344541412726727,35.792117729105584,0.8025031333581311
094,0,23.788332569445288,36.792317460588905,0.8768837608724063
095,0,21.903809635536895,35.764808158604524,0.8625980118205955
096,0,22.909621364875218,35.73647499867191,0.8425781887836697
097,0,25.757146558026275,37.5049509573116,0.8963155079729439
098,0,23.576276172026212,37.442426986200815,0.890644758501178
099,0,25.657147780606884,36.8251110409789,0.8980258366997024
100,0,25.302411977653648,34.56796277237831,0.875512911521888
101,0,19.908945538307446,33.040789084146034,0.7663566312190955
102,0,22.258581231954466,37.062680374273306,0.8852688993707323
103,0,28.403688688226513,39.439357731387695,0.8376202956704649
104,0,26.38452708633649,37.65699733857319,0.8452705704626922
105,0,21.121164117264048,35.92656272528291,0.8424430879083832
106,0,20.782034754016067,33.68036890257213,0.8261135534612001
107,0,28.574436451579956,37.771611553948965,0.8540082685265541
108,0,22.489447032471762,34.62878524008414,0.8455285670314072
109,0,23.65556804053125,36.206933655033176,0.8637222959575335
110,0,25.60363567357856,36.51830333478959,0.8849269723254171
111,0,25.885727811910712,37.80609060547845,0.8571329374905926
112,0,27.00446200750948,40.4351510400111,0.8783988148562787
113,0,24.595030473228633,36.92665978268576,0.8740564186153752
114,0,23.527981877463876,36.27096566665429,0.8412083342113746
115,0,27.70621974452346,38.71756067089664,0.8491999900106005
116,0,22.332700144368292,35.75316983446556,0.8313097604379934
117,0,26.3563203986355,38.7078122677252,0.867604405954832
118,0,18.859522066311133,33.66358940131393,0.7971699081039535
119,0,23.766863833091826,35.92992303603799,0.8666165216658047
120,0,21.182834052129692,35.22520063174345,0.8647500717356836
001,1,16.138070937301855,32.31478239614707,0.6786632571889539
002,1,28.031786721705565,43.155300233746836,0.904745956070334
003,1,21.84948936459026,32.07518131084501,0.7743612649429954
004,1,18.28367389273057,34.9828689637946,0.7967136928316876
005,1,26.655362372977862,35.77616408553692,0.8041556421071423
006,1,16.961907057725348,30.880039970035416,0.629107608816818
007,1,26.372747560087358,37.24203604705294,0.8895299127311138
008,1,29.249550259738314,38.57556665616757,0.885166912908724
009,1,22.039094402532122,34.92926979255832,0.8253185086541727
010,1,26.675654100723154,36.155334284488596,0.8941447951207143
011,1,19.95956195802455,37.20030396912745,0.8722067923231231
012,1,24.66226680946457,38.36652932715546,0.9029961453594879
013,1,22.670233939877008,36.755665910548416,0.8626594036735378
014,1,22.45229829705861,36.67924880252295,0.8497909859168838
015,1,23.72387978259909,36.348686842257905,0.8128057105705969
016,1,16.075413132581907,33.31931609760821,0.7655000800181695
017,1,18.00160976056013,32.162447355577925,0.6880197302370475
018,1,24.270736824619064,33.177136989194985,0.7579160800204081
019,1,24.87138096035414,34.24929221922878,0.7216604367958106
020,1,23.461885932600197,32.55249394920518,0.7798352737168599
021,1,17.422037104222355,31.874597032947833,0.7018084205326489
022,1,13.974579048416052,31.223976646404083,0.6488683704907586
023,1,12.526653608395959,29.741896411231483,0.5816693686400652
024,1,23.406238798012264,36.58942227651403,0.797440646552618
025,1,27.989971052452436,35.54648036990961,0.8192383957676734
026,1,24.276928435192296,35.92652943281457,0.7906124838938465
027,1,22.66217681346668,35.05889003368418,0.8080948537025924
