DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime,RAM Usage
NL-Means,Default parameters,001,0,20.063749306967964,28.03760108368341,0.7407585649301638,0.9489889144897461,-101.828125
NL-Means,Default parameters,002,0,27.04783436105103,35.42262563586866,0.8076776214405842,0.7538588047027588,-42.671875
NL-Means,Default parameters,003,0,25.498343355153686,32.17028880273051,0.8242856700120255,0.6443688869476318,-71.78125
NL-Means,Default parameters,004,0,24.981614038249447,33.19628637747144,0.8425902276451213,0.6276049613952637,-7.59375
NL-Means,Default parameters,005,0,20.718436842908087,29.863820264713308,0.7942763236778368,0.6195762157440186,0.015625
NL-Means,Default parameters,006,0,21.144582661858053,28.961606357877482,0.6751695666652884,0.6156101226806641,9.765625
NL-Means,Default parameters,007,0,21.401986904327487,30.59387489046606,0.7963532073896824,0.6126458644866943,9.015625
NL-Means,Default parameters,008,0,18.455616838005767,29.244708723919913,0.7153068704178294,0.5873641967773438,7.609375
NL-Means,Default parameters,009,0,21.331887307069074,29.591896457907417,0.7557183773312912,0.5850918292999268,4.828125
NL-Means,Default parameters,010,0,19.535419011984956,28.450027933853598,0.7105833156175687,0.5998978614807129,9.015625
NL-Means,Default parameters,011,0,20.946678273240828,32.95560892072749,0.8382999977343938,0.5974941253662109,9.109375
NL-Means,Default parameters,012,0,21.210407208939674,30.524100717215635,0.7441957707638255,0.5989120006561279,9.625
NL-Means,Default parameters,013,0,17.27579294527269,27.20944298269796,0.6134828021426436,0.5861818790435791,10.765625
NL-Means,Default parameters,014,0,20.57782450185186,30.91951540956801,0.7962707088924574,0.5987272262573242,11.640625
NL-Means,Default parameters,015,0,22.739673193976344,30.91998442952785,0.7906241186640124,0.6282649040222168,-2.25
NL-Means,Default parameters,016,0,18.773985236049814,30.753980919150838,0.7495509492873026,0.638768196105957,9.890625
NL-Means,Default parameters,017,0,17.7714804810798,28.62863604928719,0.7471351083764189,0.6224629878997803,-5.859375
NL-Means,Default parameters,018,0,24.86052915548852,29.939427212643896,0.7517411583647586,0.6008102893829346,11.734375
NL-Means,Default parameters,019,0,23.94291428837143,31.881045723699785,0.795986262821139,0.6242969036102295,-5.296875
NL-Means,Default parameters,020,0,18.165411313374193,26.636467390316355,0.649565923403468,0.9860429763793945,-160.4375
NL-Means,Default parameters,021,0,18.569077842003473,26.599004542865124,0.6947733425236061,0.6399328708648682,5.140625
NL-Means,Default parameters,022,0,24.131147405948894,30.244181495354262,0.7103130290454779,0.5868000984191895,0.046875
NL-Means,Default parameters,023,0,25.365249674577854,30.955501784698626,0.7306088538575933,0.6183838844299316,0.015625
NL-Means,Default parameters,024,0,19.63708902149772,28.751116086455774,0.7409935742835917,0.6060822010040283,6.140625
NL-Means,Default parameters,025,0,26.213755489641393,30.57899080793814,0.758245277914388,0.6031570434570312,11.015625
NL-Means,Default parameters,026,0,23.398216290026554,31.369117197487352,0.7726863443122323,0.5875227451324463,7.015625
NL-Means,Default parameters,027,0,25.391508497571316,33.852591477339104,0.824672906388246,0.5906388759613037,0.0
NL-Means,Default parameters,028,0,23.093600141792834,30.47959275589651,0.7347665311037956,0.6429221630096436,-21.875
NL-Means,Default parameters,029,0,22.542093801520878,30.739646178253043,0.7828505393060781,0.7327048778533936,-50.546875
NL-Means,Default parameters,030,0,23.871031611099532,30.28031197336906,0.7480521577314045,0.6390419006347656,-12.140625
NL-Means,Default parameters,031,0,26.021854163386713,31.74522855084158,0.7666463366766657,0.6228659152984619,-14.46875
NL-Means,Default parameters,032,0,22.256735937206518,30.56061191981858,0.7330668432713054,0.625540018081665,8.515625
NL-Means,Default parameters,033,0,25.385832927223532,34.55686567159174,0.8848645061316489,0.6673891544342041,-22.34375
NL-Means,Default parameters,034,0,20.081673432967882,31.66229092210215,0.8005085558512975,0.6030590534210205,3.40625
NL-Means,Default parameters,035,0,23.70878744913025,33.51613007863544,0.8320924314479999,0.6145281791687012,4.40625
NL-Means,Default parameters,036,0,24.892270354062553,31.683737018615474,0.8110843779249142,0.6059231758117676,10.984375
NL-Means,Default parameters,037,0,22.692835248680915,30.814030532580603,0.8087053005093514,0.5945701599121094,8.453125
NL-Means,Default parameters,038,0,34.70147490429922,35.90273577302744,0.8153703636926856,0.5906779766082764,3.828125
NL-Means,Default parameters,039,0,22.0636529645269,29.70020944245111,0.7641905081385416,0.5936088562011719,10.984375
NL-Means,Default parameters,040,0,24.255745404983053,29.499311459301254,0.7508161700475763,0.5927140712738037,5.1875
NL-Means,Default parameters,041,0,21.04073544221003,29.79320416063329,0.7412345388272823,0.6337952613830566,-8.875
NL-Means,Default parameters,042,0,24.16991294779922,29.31431169930854,0.7813801439161197,0.6290590763092041,7.953125
NL-Means,Default parameters,043,0,24.397445898811565,31.55515645824363,0.7403956282037616,0.6210041046142578,9.0
NL-Means,Default parameters,044,0,22.84743627152258,30.303927534875726,0.7644313647473139,0.6184780597686768,-4.4375
NL-Means,Default parameters,045,0,20.351545409399137,29.0831986418473,0.7647628835997584,0.5912590026855469,11.890625
NL-Means,Default parameters,046,0,20.060353406527888,27.923759383501185,0.7542169860386095,0.5857319831848145,10.578125
NL-Means,Default parameters,047,0,24.517288252968314,31.332502584126573,0.7511204298031758,0.608496904373169,6.53125
NL-Means,Default parameters,048,0,27.09920279331509,35.13808122107365,0.893875672098661,0.6004667282104492,11.15625
NL-Means,Default parameters,049,0,23.09872184601676,31.096361465564655,0.7630086117130506,0.6096200942993164,8.625
