DenoiserType,Parameter,Channel,PSNR,SI-PSNR,SSIM,Runtime,RAM Usage
NL-Means,Default parameters,0,4.055490942805313,28.243010477224665,0.0006349655870364835,0.5848730802536011,9.2421875
NL-Means,Default parameters,1,5.220671142021873,32.1653320409243,0.0021240202164704573,0.5837545394897461,6.7734375
NL-Means,Default parameters,2,2.563298428470512,33.77776265876745,0.0005877342643116351,0.580641508102417,5.0703125
