DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM
Gaussian,2,001,1,25.327963996204822,30.9062567058273,0.7437408021658152
Gaussian,5,001,1,21.962787788971056,30.844979365818993,0.7743551740818155
Gaussian,8,001,1,20.455835269545027,29.57492039940962,0.7364937191479716
Gaussian,2,002,1,40.61144755598264,41.986493694533706,0.969719184403566
Gaussian,5,002,1,31.719017232860867,37.67843009448025,0.9599911843052112
Gaussian,8,002,1,25.9269766872534,34.35408212908146,0.9355307314692907
Gaussian,2,003,1,23.348561985930054,31.4098667382059,0.8137661736914304
Gaussian,5,003,1,16.30170517524417,27.881800649365054,0.6930353391561053
Gaussian,8,003,1,14.240269962217393,26.130882496845175,0.6148422282962099
Gaussian,2,004,1,32.495694115135855,33.6860457289069,0.8822167170428324
Gaussian,5,004,1,24.928927732099055,30.672299887149038,0.8399163178274991
Gaussian,8,004,1,21.98350620400912,28.56165829305652,0.7912415658138853
Gaussian,2,005,1,24.20335693162737,34.46245488807456,0.8366532947864834
Gaussian,5,005,1,16.779792180434207,31.185251154149714,0.7696715253507214
Gaussian,8,005,1,14.57313806415052,29.37485413839255,0.7007686723954287
Gaussian,2,006,1,23.567522158600354,29.878422767029377,0.7123827305026466
Gaussian,5,006,1,18.902048030578893,28.78414640839827,0.6954850480886071
Gaussian,8,006,1,17.13112876241528,27.55032564744591,0.6444797948602707
Gaussian,2,007,1,28.77425668820404,35.976610262582575,0.9088827973011503
Gaussian,5,007,1,22.940443148568285,31.578295180782888,0.8168578066733934
Gaussian,8,007,1,20.382450987728866,29.655917203345446,0.7660914275404649
Gaussian,2,008,1,25.59934451245253,36.58950933873016,0.8992910741013826
Gaussian,5,008,1,17.66823144957487,31.188095100612756,0.7746963633215143
Gaussian,8,008,1,15.068431030507387,28.862689007306383,0.696355363071687
Gaussian,2,009,1,24.40815405173978,32.995979230504446,0.8697245412540231
Gaussian,5,009,1,16.261616725516472,28.215280590499884,0.7297747927894448
Gaussian,8,009,1,13.58033259977207,26.406891487768508,0.6460487444913322
Gaussian,2,010,1,25.345369271386403,34.02710028319191,0.8750484356587784
Gaussian,5,010,1,17.576637371615952,29.924663152559496,0.7478664069308191
Gaussian,8,010,1,15.558834838350162,28.43235129673765,0.6842340899451219
Gaussian,2,011,1,32.64880235619004,35.727937612202865,0.9133291678029127
Gaussian,5,011,1,21.453249951743132,32.03917676342761,0.8622835609289606
Gaussian,8,011,1,18.5916907646583,30.05818708720166,0.8179612999207173
Gaussian,2,012,1,28.827367706339583,36.878043540003276,0.9147150703648532
Gaussian,5,012,1,19.64123404823393,33.33825884502997,0.8746626705945039
Gaussian,8,012,1,16.61096688934101,30.87188256641154,0.823460413967486
Gaussian,2,013,1,26.47823154641832,35.66351020713355,0.8834257820025612
Gaussian,5,013,1,17.40110717444147,31.762153053519256,0.7852307735130326
Gaussian,8,013,1,14.787609036424637,29.658513691634447,0.7104190157864215
Gaussian,2,014,1,29.089561416273767,35.42611142445703,0.8929002363579897
Gaussian,5,014,1,22.62816684398996,32.20014884328983,0.8750936027265529
Gaussian,8,014,1,18.823560542709274,29.93919798216458,0.8300482966151608
Gaussian,2,015,1,29.496180265223973,35.51921585547767,0.8917012812345545
Gaussian,5,015,1,21.959071733174657,30.99021237209207,0.823314269485235
Gaussian,8,015,1,17.872725760149354,28.626024977888935,0.7586594855729769
Gaussian,2,016,1,32.140476701937985,32.317678739698735,0.8438417200966892
Gaussian,5,016,1,25.849557834646046,29.38891633924795,0.7740552986650822
Gaussian,8,016,1,24.24753644516715,27.763877583497184,0.7278331295318518
Gaussian,2,017,1,22.896762144130975,31.410144918507086,0.7410689919209801
Gaussian,5,017,1,17.59021893437962,31.123228565457236,0.7670563303478485
Gaussian,8,017,1,16.230026243042616,29.703527532922255,0.7209831498528027
Gaussian,2,018,1,18.334718391345653,32.39144461871908,0.6926104999767354
Gaussian,5,018,1,12.516064858318803,31.308990509676246,0.636906213240234
Gaussian,8,018,1,12.182685360896969,30.135831832043394,0.6171496932898811
Gaussian,2,019,1,19.313863189323,33.03453435950044,0.7231588751245435
Gaussian,5,019,1,15.298048774396682,30.18135302761341,0.7178808185430683
Gaussian,8,019,1,14.885697738303987,28.650857943081142,0.6866425571567485
Gaussian,2,020,1,21.276464099345333,31.682330770414247,0.7617735908432175
Gaussian,5,020,1,16.618307948287956,29.200399673359225,0.6701796057750042
Gaussian,8,020,1,15.531285284908208,27.93662811059887,0.6122564972352037
Gaussian,2,021,1,23.069802964644452,30.027572394961275,0.7097909139796997
Gaussian,5,021,1,20.02884474818236,28.689531084092614,0.7318964633041057
Gaussian,8,021,1,17.412261407574135,27.51176345353997,0.6829004573077732
Gaussian,2,022,1,29.245879408037453,30.318992272906197,0.7684000947786929
Gaussian,5,022,1,22.990044113705,27.991834440152186,0.6754318357041181
Gaussian,8,022,1,21.307299245664524,26.35483818406265,0.6100206091472878
Gaussian,2,023,1,28.067657940040704,28.868919693825227,0.7256509345532901
Gaussian,5,023,1,27.58008235377432,28.09067561669184,0.6823682981971337
Gaussian,8,023,1,25.657518678118358,26.927855295131437,0.632972599957782
Gaussian,2,024,1,20.747297168215372,35.32748502151498,0.7567996524371295
Gaussian,5,024,1,18.766657887622078,34.3003025431257,0.8136877341471569
Gaussian,8,024,1,18.237846968406647,32.87158530320772,0.8091517806086246
Gaussian,2,025,1,16.7696058149528,34.186160567486944,0.5779074505896203
Gaussian,5,025,1,10.72004507262334,33.69990848859488,0.49654388195181925
Gaussian,8,025,1,10.068471764023474,32.70942117122133,0.4924397737091639
Gaussian,2,026,1,21.967635041251356,34.7157698549048,0.7845291714436613
Gaussian,5,026,1,17.96484895743286,32.54817491001106,0.7936328600676961
Gaussian,8,026,1,15.286010220942291,30.79426518378314,0.7537573708409772
Gaussian,2,027,1,27.587839432290053,33.6864151818525,0.8341242474250622
Gaussian,5,027,1,22.311576222943597,31.286786196003984,0.8468374867251691
Gaussian,8,027,1,19.461056889222696,29.487997895789757,0.8063366302659137
Gaussian,2,028,1,24.438031156988057,32.38388456618141,0.800459528137604
Gaussian,5,028,1,20.79404246854585,30.502002149463504,0.7920103113624378
Gaussian,8,028,1,18.761044016679676,28.93434784888955,0.7492710946560204
Gaussian,2,029,1,21.27220941290259,36.5437602063469,0.8090254361321372
Gaussian,5,029,1,17.940198709764516,32.67051230485757,0.7936497200024228
Gaussian,8,029,1,15.27359998363885,30.843855895046126,0.731736970032261
Gaussian,2,030,1,25.72464306650199,32.64270039905122,0.8256778587902881
Gaussian,5,030,1,20.38215019209353,30.032860065796,0.769630564927328
Gaussian,8,030,1,19.01998166475351,28.33201114523249,0.7222421528892793
Gaussian,2,031,1,25.895960634456593,30.037687880127137,0.7486498875895895
Gaussian,5,031,1,24.02239409949614,27.75920906194859,0.6478438453427758
Gaussian,8,031,1,23.293172490456655,26.336063895973936,0.5815718193673715
Gaussian,2,032,1,21.709590796128424,31.458788595380717,0.7727401202667918
Gaussian,5,032,1,17.531901056638446,28.69303851005742,0.6535727736344692
Gaussian,8,032,1,16.897710968047324,27.426556959327904,0.5977380779445477
Gaussian,2,033,1,28.897295090735113,35.780823818014674,0.8753007367555262
Gaussian,5,033,1,22.82820391273458,34.34900567190588,0.8817750725866198
Gaussian,8,033,1,19.583799387199495,32.381989889459945,0.8471059338773494
Gaussian,2,034,1,26.924884991382637,35.426484055634646,0.8686844944013724
Gaussian,5,034,1,21.26724460756634,32.75032830685686,0.8525445670870602
Gaussian,8,034,1,18.606595634097097,30.640611580878776,0.807772619418842
Gaussian,2,035,1,29.043175808389137,36.89274583002782,0.8941824954990022
Gaussian,5,035,1,22.65190661798668,34.425991350626575,0.8964475304166193
Gaussian,8,035,1,20.117323592914957,31.77481088728442,0.8626769552436621
Gaussian,2,036,1,19.209693316312382,33.66128993822951,0.7900363806180795
Gaussian,5,036,1,15.070726774281361,31.084012706209418,0.759684361647809
Gaussian,8,036,1,14.342606577326775,29.36327784364209,0.72019412742765
