DenoiserType,Parameter,Channel,PSNR,SI-PSNR,SSIM
Gaussian,2,0,31.859159627456286,35.18523101398114,0.9028054653690026
Gaussian,2,1,24.13581103280041,33.10045093250536,0.7828364651446201
Gaussian,2,2,30.552516914425958,34.88995677377583,0.8142773965561768
Gaussian,5,0,24.4993716171303,29.884734080297147,0.8446340490910234
Gaussian,5,1,18.550091193833396,30.701740271842834,0.7248633075964831
Gaussian,5,2,24.19606101155146,32.6327836602001,0.8421074045025352
Gaussian,8,0,21.438832992693328,27.37912201125219,0.7748472611365703
Gaussian,8,1,16.771305547344106,29.184270231122685,0.6774006092052901
Gaussian,8,2,20.491084247794916,30.02221301837903,0.7866906311634201
