DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM
Gaussian,2,057,2,21.10848427745626,31.298579440598875,0.6472852140376523
Gaussian,5,057,2,13.949361386194465,31.02084872424669,0.6505004578325101
Gaussian,8,057,2,12.852647392339422,29.59252478500244,0.6172474270582399
Gaussian,2,058,2,28.796970970285358,34.12179746193858,0.7912278976707241
Gaussian,5,058,2,26.41599074090813,32.485660165606646,0.8855202140716926
Gaussian,8,058,2,24.661961133213918,29.838874321526202,0.8690621466782293
Gaussian,2,059,2,29.56048130134965,30.24237291139272,0.6945053995162892
Gaussian,5,059,2,26.989139812900955,34.353184727812945,0.8443046611265554
Gaussian,8,059,2,25.245845118916893,34.29336455311608,0.8405616054773014
Gaussian,2,060,2,20.997361239013557,27.51684243874483,0.49413057482202377
Gaussian,5,060,2,17.554694123255913,31.090464035744457,0.7075338019633507
Gaussian,8,060,2,15.57426049952809,30.620685838258158,0.7056390276500323
Gaussian,2,061,2,33.00593411717451,33.62147819872757,0.819235680684385
Gaussian,5,061,2,29.68847381545487,35.51541750178413,0.8939433822590612
Gaussian,8,061,2,26.158322128869234,33.76791934214175,0.8693762282911425
Gaussian,2,062,2,30.73727258924956,32.18284905137163,0.7596837908318054
Gaussian,5,062,2,27.567558712321603,34.68586554436195,0.8771337365624853
Gaussian,8,062,2,23.921240529537307,33.2682712853624,0.8609602788727553
Gaussian,2,063,2,24.56507384032873,28.039437061565465,0.5730761801973002
Gaussian,5,063,2,25.115841604671864,31.12112651141844,0.7718743579934007
Gaussian,8,063,2,23.936456001060368,30.443535299560523,0.752681080673598
Gaussian,2,064,2,34.50030163908331,37.01327639930129,0.8943789556748949
Gaussian,5,064,2,26.015723182928365,35.09547838021422,0.899843573503868
Gaussian,8,064,2,19.476868766337226,31.972704958310693,0.8022059759321419
Gaussian,2,065,2,24.75981408001185,26.435148607564244,0.5614555813855435
Gaussian,5,065,2,27.129062730135246,31.244667635674777,0.7123014747728197
Gaussian,8,065,2,27.755310577157083,31.672197355259545,0.7104743651316714
Gaussian,2,066,2,24.21489734102829,25.035537011326802,0.470055391099154
Gaussian,5,066,2,28.615605069789165,29.04965721625974,0.6752373785134193
Gaussian,8,066,2,26.833198248560176,29.016482467780307,0.6675170296722266
Gaussian,2,067,2,22.78597220310328,25.815867846049287,0.44713030587066277
Gaussian,5,067,2,19.208516914842434,28.867271684867685,0.6441755976565878
Gaussian,8,067,2,16.41793773184083,28.448478316632997,0.639855724975179
Gaussian,2,068,2,21.432489172103963,27.435494744749743,0.50482873763792
Gaussian,5,068,2,17.120132474246283,29.79031000918317,0.6893196990222584
Gaussian,8,068,2,16.88800367510226,28.792596118071287,0.7100409827961738
Gaussian,2,069,2,36.035988078053784,40.018026649227785,0.9233888074717813
Gaussian,5,069,2,31.285170204764054,34.56598990766431,0.91119939744409
Gaussian,8,069,2,26.922004105964362,31.748900923305182,0.8595130911553062
Gaussian,2,070,2,33.43005012731076,37.7256016302736,0.918249463130363
