DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Median,5,001,2,24.351577657774286,26.441050024712922,0.5423842153141641,0.08733415603637695
Median,5,002,2,32.43306985278285,35.27379996057829,0.8175553432265279,0.08852291107177734
Median,5,003,2,34.41561762251411,34.69279582615221,0.8270636941977809,0.09477591514587402
Median,5,004,2,25.80363813462288,26.886470026212542,0.6226834028370973,0.08972859382629395
Median,5,005,2,26.01363977598373,27.697107590828736,0.6803930358552912,0.08258581161499023
Median,5,006,2,25.675452175523105,25.71098567108525,0.46507553178187716,0.09612727165222168
Median,5,007,2,37.44272955798802,39.9585525816018,0.9327896585198153,0.0865480899810791
Median,5,008,2,34.51580928947991,39.108189262160806,0.9130227156678726,0.09518909454345703
Median,5,009,2,36.25773050653143,37.02636946324654,0.8839179482136752,0.08694577217102051
Median,5,010,2,37.626877292846736,38.649123451518065,0.9044232429609735,0.0863349437713623
Median,5,011,2,33.574824012432,34.811357172909304,0.7962966051665559,0.08577203750610352
Median,5,012,2,36.44121215305988,41.61148019582777,0.9306996993850711,0.0882411003112793
Median,5,013,2,32.3788681909022,32.41727382152834,0.766342191324926,0.09218215942382812
Median,5,014,2,34.25071082726683,37.47647072569288,0.8312282165171435,0.08769679069519043
Median,5,015,2,32.24242973021622,33.16821982370361,0.7703709683793512,0.09176015853881836
Median,5,016,2,36.04468653507545,36.4049591637927,0.8791776454425846,0.08877897262573242
Median,5,017,2,19.329350691979013,23.41252651317028,0.4266543436727735,0.09022283554077148
Median,5,018,2,25.480444081489864,25.52019109882898,0.42880778691506016,0.08620119094848633
Median,5,019,2,32.63851046678155,33.730806060019816,0.775972008333527,0.08492207527160645
Median,5,020,2,27.19979230429896,27.378674039724164,0.549931491658163,0.09558415412902832
Median,5,021,2,25.39561144612489,26.672681910194274,0.5325893030541609,0.09176182746887207
Median,5,022,2,26.47431873387503,28.119509447667298,0.5866611648217295,0.09106802940368652
Median,5,023,2,29.82957178224579,33.19503750030724,0.7292763539111121,0.09123611450195312
Median,5,024,2,25.562638329414852,31.506119009674705,0.6272694837346722,0.09119319915771484
Median,5,025,2,25.847252960658142,25.893496731130334,0.4683712885603346,0.09100508689880371
Median,5,026,2,29.25519893864648,29.58783234391508,0.6739576285265557,0.09118318557739258
Median,5,027,2,28.82430156126535,34.97331466082877,0.7486058474782953,0.09141206741333008
Median,5,028,2,33.60319477990712,36.00934002883827,0.8470324917122544,0.09082508087158203
Median,5,029,2,31.295484537333746,35.217713214804405,0.7803415608649469,0.09192109107971191
Median,5,030,2,29.812394720574385,30.88325768747599,0.7035399815202443,0.09140205383300781
Median,5,031,2,28.725289789261335,29.052248735841204,0.6425616049692048,0.09138607978820801
Median,5,032,2,31.85289890135507,31.92493262918984,0.7606274254697156,0.09011292457580566
