DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Median,5,001,1,27.375880302015332,27.43489853624769,0.6273510731944846,0.09354376792907715
Median,5,002,1,39.00972854942228,39.252345583785974,0.9384561594397989,0.09466886520385742
Median,5,003,1,27.343469591473756,29.353165566957404,0.7330376986608245,0.0917057991027832
Median,5,004,1,29.994461850467165,30.885343186400327,0.7878854134113169,0.08836197853088379
Median,5,005,1,27.421969271156645,32.259521649374264,0.780494428502959,0.09073877334594727
Median,5,006,1,26.360329263227563,26.857230754230443,0.600553929873826,0.0860300064086914
Median,5,007,1,30.443975904829927,34.835479700640406,0.8655008684632266,0.08765292167663574
Median,5,008,1,28.86489123243613,35.815759108333445,0.8746313139361556,0.08880186080932617
Median,5,009,1,28.556981111994546,32.22748757920758,0.8037781353714891,0.08921194076538086
Median,5,010,1,28.881380293454015,32.94452878703012,0.808731887271941,0.0897829532623291
Median,5,011,1,33.10630097211502,33.5489833011773,0.8438592276808704,0.08791184425354004
Median,5,012,1,31.54071646406092,34.37483291081155,0.8278576963374165,0.08658981323242188
Median,5,013,1,31.799616306137324,33.377121815395924,0.8060393938976035,0.08884382247924805
Median,5,014,1,30.75853159890613,32.89733840197759,0.80303934285073,0.08885788917541504
Median,5,015,1,32.27377753672423,33.887777403414226,0.8579948105344454,0.08583498001098633
Median,5,016,1,29.696566862581445,29.912817132851565,0.7355612572929354,0.08528685569763184
Median,5,017,1,26.14898326046103,27.930032442891193,0.6060360918659838,0.0847480297088623
Median,5,018,1,23.615977618164084,29.47637030890651,0.5991732748733559,0.08506608009338379
Median,5,019,1,21.747401150719465,30.7431571885629,0.6324850494457908,0.08531808853149414
Median,5,020,1,24.04154200700424,29.210277009275323,0.6302158528079093,0.08540892601013184
Median,5,021,1,26.405881056107773,27.14903010522331,0.5701061145887001,0.08696222305297852
Median,5,022,1,27.23186090790248,27.531020834234567,0.6265450916929443,0.09396195411682129
Median,5,023,1,22.036380809004154,25.63607225048223,0.5920680989815356,0.09922909736633301
Median,5,024,1,23.195233432524137,32.115267709539616,0.6489678111283295,0.08970189094543457
Median,5,025,1,18.030131191500647,31.32654914779492,0.431609200271034,0.08959102630615234
Median,5,026,1,25.1191438479529,31.880108477358718,0.7035382401638833,0.0853722095489502
Median,5,027,1,29.90763118556792,30.94729096196219,0.7465170208924673,0.08640408515930176
Median,5,028,1,28.025031338704594,29.544727609018096,0.6945944261893316,0.09276103973388672
Median,5,029,1,22.604952142339773,34.81379959392888,0.7635521339948854,0.09281206130981445
Median,5,030,1,29.997938708082906,30.02162187103854,0.7523959787798903,0.09137177467346191
Median,5,031,1,27.036928546480723,27.29869154643591,0.617929164282269,0.09441304206848145
Median,5,032,1,29.18485570113706,29.25052909266774,0.6830881491296993,0.09714388847351074
Median,5,033,1,29.715645699181476,32.42262226071452,0.7454294178674192,0.0948641300201416
Median,5,034,1,28.72678103947119,32.62149444770178,0.7580368895770887,0.09129190444946289
Median,5,035,1,30.550704190504444,33.79404983353475,0.7839751465149652,0.09152412414550781
Median,5,036,1,20.86584236791555,30.845766868548207,0.6483098197902302,0.09200716018676758
Median,5,037,1,22.510166375185122,30.74814805362299,0.6692709092568695,0.09152102470397949
Median,5,038,1,28.018986169239383,29.399360437947447,0.7330680378848993,0.09103584289550781
Median,5,039,1,28.07469187974675,30.99198119042251,0.7610977921878695,0.09108686447143555
Median,5,040,1,23.316249613981142,29.025051957251208,0.6770351638151758,0.09231925010681152
Median,5,041,1,27.414572567854716,31.397757798392366,0.7510840395106655,0.10112118721008301
Median,5,042,1,24.863958885191142,29.832566736068983,0.6917605803370911,0.09392094612121582
Median,5,043,1,31.800340917117378,35.157245077426545,0.8223131731270934,0.09349513053894043
Median,5,044,1,28.957023860698744,28.95856127528388,0.7135664653566921,0.09881806373596191
Median,5,045,1,23.390833043916388,31.378945393252522,0.7097292519567954,0.08819007873535156
Median,5,046,1,22.57249291667083,36.63458346503791,0.7621325096634829,0.08637619018554688
Median,5,047,1,31.288062497048333,32.13530352857117,0.8090633821628134,0.09014201164245605
Median,5,048,1,26.311680271625974,28.95473647191431,0.7060937610896475,0.1081089973449707
Median,5,049,1,31.560279671703427,31.65590148926009,0.7797070250147444,0.09317803382873535
Median,5,050,1,27.772880804427306,29.09523694600957,0.6856665933846114,0.08748912811279297
Median,5,051,1,25.011395572354957,28.156277824160302,0.583189396489996,0.08945894241333008
Median,5,052,1,24.13435994926013,33.80865006905229,0.6967447958035922,0.08572506904602051
Median,5,053,1,27.33919585436945,29.841784771252776,0.6692980412170338,0.08609890937805176
Median,5,054,1,27.751807042890107,29.16914615115163,0.7142929782935544,0.08563494682312012
Median,5,055,1,26.905239435263706,32.27463756816461,0.7529964689266343,0.08533596992492676
Median,5,056,1,22.17097898616128,31.51301231782749,0.6445282766259428,0.08530473709106445
Median,5,057,1,27.29441658353014,27.447231223668428,0.588546261695649,0.08574914932250977
Median,5,058,1,28.63371213324054,30.69398367339463,0.726363995820808,0.08543896675109863
Median,5,059,1,23.166750087628955,26.412442587719724,0.5746859841112235,0.08573412895202637
Median,5,060,1,23.172753797223944,27.64046695192399,0.5568192176299931,0.08590221405029297
Median,5,061,1,23.276457824610688,30.486673044352827,0.5809173686501663,0.08805990219116211
Median,5,062,1,25.247287696161305,26.732357012905496,0.5422113308108191,0.08515405654907227
Median,5,063,1,24.01752527857007,29.832588852748387,0.6383476021933828,0.08577203750610352
Median,5,064,1,24.214736695659425,29.014733616898756,0.6172915412313178,0.09220004081726074
Median,5,065,1,25.437813204238857,29.139522552055958,0.6055822351436531,0.09430098533630371
Median,5,066,1,26.89188842326893,27.389659143614885,0.6552044726531894,0.0895841121673584
Median,5,067,1,19.691440672823127,32.637664118325674,0.5285019132790001,0.09093093872070312
Median,5,068,1,24.33045204256731,33.03476827410758,0.6796932738409097,0.0903167724609375
Median,5,069,1,17.582816868010813,33.91828239066936,0.5092889064467045,0.09090471267700195
Median,5,070,1,26.79321299678054,27.182055603652667,0.5551902794249556,0.09139728546142578
Median,5,071,1,29.65902471313589,29.720442814340707,0.7298832711400346,0.09102272987365723
Median,5,072,1,26.007447274449483,26.358488142035704,0.5566665754346419,0.09084415435791016
Median,5,073,1,23.0319666733763,30.00807357173308,0.6823821223582441,0.0908970832824707
Median,5,074,1,19.256497303596028,33.823115328154316,0.5597721088379456,0.09075140953063965
Median,5,075,1,21.793321797888137,30.267986228465933,0.6477912911903344,0.09057807922363281
Median,5,076,1,22.923985407054467,27.30604309245425,0.6445696765994293,0.09628510475158691
Median,5,077,1,21.239066807900976,32.96792011095762,0.6000148348844688,0.08837413787841797
Median,5,078,1,22.58941199753596,29.574349766525657,0.6948518971648195,0.08859610557556152
Median,5,079,1,20.21100049435343,33.2394128049997,0.5990270547640587,0.08804011344909668
Median,5,080,1,25.475954939768123,30.742680817322,0.734953945914829,0.08756709098815918
Median,5,081,1,21.9205333123066,31.911331965807122,0.6276489836776413,0.08739185333251953
Median,5,082,1,24.774494917540867,27.873045879103312,0.5967984585660325,0.08727312088012695
Median,5,083,1,26.45555397922493,27.91140306732307,0.6063003006631639,0.08627581596374512
Median,5,084,1,23.659173827927233,31.447164713386538,0.6607815650405005,0.08608174324035645
Median,5,085,1,21.305242379550137,25.861164903475874,0.532930689435508,0.0858759880065918
Median,5,086,1,22.820025185597878,29.130767195294652,0.6461234572380804,0.08534622192382812
Median,5,087,1,25.256768237912905,29.027851062549516,0.6380786342523899,0.08595085144042969
Median,5,088,1,24.872192435012774,26.537162307174114,0.5154298281153357,0.0859370231628418
Median,5,089,1,28.872758420141817,30.21313185294435,0.7322170585642103,0.08702588081359863
Median,5,090,1,27.014367126686093,27.867732550643844,0.661576358009508,0.08585500717163086
Median,5,091,1,26.725810100500173,26.84718872548047,0.6076238617820798,0.08536601066589355
Median,5,092,1,27.656761812259774,27.991953996344613,0.6377732096114237,0.0855097770690918
Median,5,093,1,30.314007333461603,32.3173592928799,0.8323917561840963,0.08626103401184082
Median,5,094,1,26.69847934058915,30.434341114890007,0.7326195256276722,0.0861959457397461
Median,5,095,1,23.475943654296017,30.315319365189964,0.6995206262171244,0.08553290367126465
Median,5,096,1,24.90652907110895,30.808494338697898,0.7696781313940005,0.0857388973236084
Median,5,097,1,32.440479323307954,33.37991246776414,0.8134968727541676,0.08568811416625977
Median,5,098,1,22.899196624281654,31.398720882895105,0.6732343957163585,0.08506011962890625
Median,5,099,1,22.647373028177018,29.519122569025207,0.6293608869333265,0.08518195152282715
Median,5,100,1,27.916818316952327,28.210657959912957,0.6316644537882029,0.08615398406982422
Median,5,101,1,26.366397926973587,33.12886296568625,0.7241379878791284,0.0868980884552002
Median,5,102,1,22.472848450839233,30.26064855390031,0.6147130996895847,0.08541607856750488
Median,5,103,1,27.83123478712973,29.6750204110726,0.6976653703054115,0.09093880653381348
Median,5,104,1,33.7943205430485,34.322777311964565,0.886469403737158,0.09096980094909668
Median,5,105,1,20.821339364713893,31.712779449585685,0.5587886762485431,0.09096503257751465
Median,5,106,1,26.952627571506852,33.190980394367934,0.8201558645628209,0.08932781219482422
Median,5,107,1,21.076387089733416,33.065087347142835,0.7522888857364405,0.09096288681030273
Median,5,108,1,23.638669854158074,23.82774766764242,0.33336682362229614,0.0901181697845459
Median,5,109,1,20.352845974108153,23.71991481352676,0.471314691022257,0.09066486358642578
Median,5,110,1,28.577902093398563,30.087631481588364,0.7440698285861098,0.09153985977172852
Median,5,111,1,29.264390497702614,35.89975421538674,0.8837906847804299,0.09054684638977051
Median,5,112,1,33.31400252815263,33.596576131109806,0.8576170749583681,0.09084224700927734
Median,5,113,1,29.789225503862152,41.10873341890641,0.8456302656763443,0.08941197395324707
Median,5,114,1,29.54066808190246,32.72504881615649,0.8190652728297706,0.08789610862731934
Median,5,115,1,28.1403147133635,31.62359892973018,0.8221849568220932,0.09142875671386719
Median,5,116,1,19.867281895672683,33.35579085192555,0.6473084216214603,0.08757710456848145
Median,5,117,1,25.3265532319821,31.040165492866958,0.7448967176664976,0.2216789722442627
Median,5,118,1,30.75959457060185,31.873892629044832,0.7595873346074192,0.08937907218933105
Median,5,119,1,28.059309611943615,29.630529117689402,0.7079168409463473,0.08616876602172852
Median,5,120,1,23.17431749865512,31.649368509443008,0.7242732569247874,0.08668017387390137
