DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM
NL-Means,{},055,2,37.60122254271127,38.718983517909706,0.957826864056248
NL-Means,{},056,2,25.666583600182015,26.120867980201762,0.5456561530490673
NL-Means,{},057,2,23.541603993594737,30.584845597519397,0.7629847353306696
NL-Means,{},058,2,29.21514274478355,33.175646984709914,0.8686951457491857
NL-Means,{},059,2,32.553489488137416,33.43552172798336,0.8008788564029925
NL-Means,{},060,2,22.08538844524158,30.246877399549955,0.6723430521186536
NL-Means,{},061,2,32.33766141593047,34.42795286455199,0.8782180891366944
NL-Means,{},062,2,33.38278660145667,33.9982507082521,0.8649929299223719
NL-Means,{},063,2,28.493183220599935,30.49295617664289,0.7229638046453796
NL-Means,{},064,2,32.787462723079706,35.38641659251901,0.9122529700264176
NL-Means,{},065,2,19.409618342471074,30.321973021282503,0.6026240150869093
NL-Means,{},066,2,20.056043495657295,28.363562295209004,0.5729139504538333
NL-Means,{},067,2,25.94974597974208,28.099337671282917,0.5959535532589785
NL-Means,{},068,2,21.354921368365037,29.329272798745695,0.6880725467407478
NL-Means,{},069,2,34.38954569146457,35.234254542095734,0.9124964661300571
NL-Means,{},070,2,34.872610082853996,35.5172376005907,0.9336517914768112
NL-Means,{},071,2,32.48585418195286,32.50225974334113,0.8701708282977981
NL-Means,{},072,2,27.566245973962285,29.140830457586134,0.7352653016645928
NL-Means,{},073,2,33.42670407505298,33.46325355754765,0.8783030622285349
NL-Means,{},074,2,34.00689028410155,34.78799735718653,0.9069514561653698
NL-Means,{},075,2,32.94970312495441,32.987525221457396,0.875774622355723
NL-Means,{},076,2,29.1929000423818,31.30797150062719,0.7868717392564174
NL-Means,{},077,2,28.019712051916123,31.14824154007964,0.8375128158586327
NL-Means,{},078,2,34.40418622720592,36.350562346395165,0.9222205266831307
NL-Means,{},079,2,26.33597643906301,30.871456938565505,0.7719892048281249
NL-Means,{},080,2,33.81313953407262,36.73089447791098,0.9492832625518178
