DenoiserType,Channel,PSNR,SI-PSNR,SSIM
NL-Means,0,29.038341132985405,30.524246836901373,0.8597009055898538
NL-Means,1,26.580116794040002,30.63597705884143,0.7756000386122135
NL-Means,2,31.360491221455597,33.68423860247922,0.8551231389606838
