DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM
BM3D,0.05,001,2,14.817740973548474,19.47465344415244,0.5400716432253889
BM3D,0.1,001,2,19.91724456665723,31.479880342484677,0.7742517491647932
BM3D,0.15,001,2,33.76559852111454,33.86286576069325,0.8622293761344546
BM3D,0.05,002,2,25.616608161443896,31.482534809765845,0.8431597448627051
BM3D,0.1,002,2,39.93277231170032,40.44405855152483,0.967830679943968
BM3D,0.15,002,2,36.416977027037014,40.44839282758528,0.9672194851101256
BM3D,0.05,003,2,23.049846725710893,34.04447377519201,0.85435245391977
BM3D,0.1,003,2,37.10121977169274,39.18283338890876,0.9507282136493618
BM3D,0.15,003,2,35.71196678232514,38.928555796777815,0.9500409578578608
BM3D,0.05,004,2,17.72895969096747,21.55143465456275,0.6131951608638054
BM3D,0.1,004,2,20.53876960491433,32.42129473796269,0.7195224071202633
BM3D,0.15,004,2,29.629888953213776,34.074014691401956,0.8554010454851197
BM3D,0.05,005,2,17.706189358224183,24.94510081103803,0.4891455830350644
BM3D,0.1,005,2,20.8544212609362,33.297262449568244,0.7103482261948213
BM3D,0.15,005,2,33.081689326387675,33.49997765684041,0.8908532553454533
BM3D,0.05,006,2,15.88380218222446,18.926627845070644,0.4144659792742722
BM3D,0.1,006,2,24.721360062671394,30.87712113752484,0.7741323876597311
BM3D,0.15,006,2,31.87403507382652,32.05179548347915,0.8095146119923391
BM3D,0.05,007,2,34.9734047509676,43.57550143308142,0.9749691729393386
BM3D,0.1,007,2,43.733244915311644,43.757262259015505,0.984483627322793
BM3D,0.15,007,2,42.2687825453328,42.634785782180096,0.9819606386086129
BM3D,0.05,008,2,33.84870223852101,41.28964465951225,0.9696397659932173
BM3D,0.1,008,2,37.08675669184645,42.15475922126238,0.9728591590326562
BM3D,0.15,008,2,35.93622943642174,41.26518844295173,0.9684189959963078
BM3D,0.05,009,2,28.384000095141005,38.86659185293921,0.9342015435571946
BM3D,0.1,009,2,40.695424232325394,40.92479050667433,0.9694987873852006
BM3D,0.15,009,2,40.18871780251891,40.25575408285753,0.9663620046893181
BM3D,0.05,010,2,31.408809696961704,42.20762664706031,0.9493370015797522
BM3D,0.1,010,2,39.19810281424403,42.20910277543486,0.9693951406395928
BM3D,0.15,010,2,40.607088780873106,41.07760927470344,0.9675735014619788
BM3D,0.05,011,2,24.9850596700203,33.43354685595957,0.8151162705493079
BM3D,0.1,011,2,39.58644146113019,40.405237711050304,0.9437025722656882
BM3D,0.15,011,2,38.266984488958784,40.362725441483924,0.9459327288636931
BM3D,0.05,012,2,42.08208276385616,46.47064785208905,0.9872358171472146
BM3D,0.1,012,2,46.31933095438807,46.43538538254903,0.9899627891145544
BM3D,0.15,012,2,45.126121447874894,45.26811826139543,0.9890413814664684
BM3D,0.05,013,2,21.193605251608144,31.25069304385832,0.7982128362680176
BM3D,0.1,013,2,34.265852534074355,36.98884548374197,0.9327517113897347
BM3D,0.15,013,2,36.59395213267903,36.64633636191136,0.9313688018748412
BM3D,0.05,014,2,30.878513370310827,38.73843893435124,0.9561334085185167
BM3D,0.1,014,2,41.63289232163821,42.71788540705484,0.9792479929236326
BM3D,0.15,014,2,42.4314157900035,42.4450663156549,0.9786938057012327
BM3D,0.05,015,2,21.54550485440668,33.528854550549916,0.7789794022749709
BM3D,0.1,015,2,38.89367771520774,38.96814933160886,0.9577157222506241
BM3D,0.15,015,2,37.10407069263344,38.757688741943035,0.9574680271467545
BM3D,0.05,016,2,27.292707234219158,37.15492883483564,0.9292352321770988
BM3D,0.1,016,2,39.237458494628896,40.043383114588245,0.9649561667144356
BM3D,0.15,016,2,36.59739955987022,39.44787800098633,0.9612193316935485
BM3D,0.05,017,2,10.996865918668073,16.530635996468753,0.34669036147926807
BM3D,0.1,017,2,15.044779442892992,29.271120302753502,0.6062103035877077
BM3D,0.15,017,2,29.016129733690647,30.50992435250526,0.7411768945340912
BM3D,0.05,018,2,14.394396682394962,20.107852148691677,0.408613543299274
BM3D,0.1,018,2,21.125059816747505,31.880303740031973,0.740296462908991
BM3D,0.15,018,2,26.51317029157168,32.42167780816198,0.7973808722604855
BM3D,0.05,019,2,24.50247748753377,32.90453243061356,0.8024541617852841
BM3D,0.1,019,2,29.40954927774491,37.84973219350383,0.9097306267431393
BM3D,0.15,019,2,37.392617757758615,37.39383139079841,0.9373035523601874
BM3D,0.05,020,2,18.62724236341178,22.335859579616077,0.5072602072549138
BM3D,0.1,020,2,23.570812233578415,31.21262253764062,0.756420993195352
BM3D,0.15,020,2,29.1453463925167,31.475474897728667,0.7868089604064632
BM3D,0.05,021,2,15.10368487859848,20.33374707503409,0.4447306315643269
BM3D,0.1,021,2,20.174947193964318,31.998622609360552,0.7492338743357987
BM3D,0.15,021,2,30.332258650043183,33.16519795619055,0.8270536557796804
BM3D,0.05,022,2,14.89092154470641,21.874247747153234,0.5055844198488971
BM3D,0.1,022,2,22.958434155425547,34.397548091258734,0.8536717349347074
BM3D,0.15,022,2,34.68226366767189,34.968070623808686,0.8842391299334295
BM3D,0.05,023,2,23.647522943347727,31.163957949166647,0.7788450068529087
BM3D,0.1,023,2,35.22690511860755,38.15162961775385,0.9282093891252597
BM3D,0.15,023,2,29.690697835493957,37.79336124988128,0.9186957067076593
BM3D,0.05,024,2,22.863918906403082,26.270911854114058,0.6414351543752366
BM3D,0.1,024,2,34.32377469704733,36.950837604433886,0.9121881051423479
BM3D,0.15,024,2,32.92931679213437,37.13139492877872,0.9195157093116509
BM3D,0.05,025,2,18.230094035674476,20.998310717312712,0.5056061576168633
BM3D,0.1,025,2,21.10285254812791,31.10867204828038,0.727206063233808
BM3D,0.15,025,2,29.83339442516105,32.10069395962986,0.8089939998957386
BM3D,0.05,026,2,18.443576210050555,22.12496751538118,0.45759818231631033
BM3D,0.1,026,2,26.0882208300507,34.958827966539076,0.8577635991368768
BM3D,0.15,026,2,32.15113655389394,35.74252989757668,0.8896520655061423
BM3D,0.05,027,2,27.566713024983653,35.12075656068374,0.8539133405453
BM3D,0.1,027,2,38.73374153089655,40.10051203692622,0.9491239027762396
BM3D,0.15,027,2,37.97399290602214,39.79561638268297,0.9538005127376061
BM3D,0.05,028,2,28.094797541469426,35.69707943448161,0.9320855583888669
BM3D,0.1,028,2,40.64551235704311,41.23983616091319,0.9706831665424366
BM3D,0.15,028,2,38.543251286108976,41.09636359466661,0.9691206172242282
BM3D,0.05,029,2,28.313647874344127,35.41778130764543,0.9218567953899323
BM3D,0.1,029,2,37.70119966178908,39.63879098627112,0.9634966247760138
BM3D,0.15,029,2,34.90191525769701,39.092218622345456,0.9573428624715544
BM3D,0.05,030,2,20.683462117902096,24.779375583860922,0.5944498419614349
BM3D,0.1,030,2,33.41942844224378,35.39252182945517,0.8916858053751944
BM3D,0.15,030,2,33.177731511749904,35.62510173128067,0.9008882712405154
BM3D,0.05,031,2,17.383707525334874,24.326801233526197,0.5152039227293232
BM3D,0.1,031,2,26.438650605744552,33.279407019803735,0.8242121060913693
