DenoiserType,Parameter,Channel,PSNR,SI-PSNR,SSIM
BM3D,0.05,0,23.3042638368636,28.836575201448884,0.7699481749135749
BM3D,0.05,1,20.790029248523236,25.41512423157052,0.6115346597519997
BM3D,0.05,2,23.201182100155837,29.197882848136448,0.6962561337268576
BM3D,0.1,0,32.12373614764007,35.63256376201055,0.9055051375439244
BM3D,0.1,1,30.431717577689657,33.387007514283525,0.843339478815753
BM3D,0.1,2,31.609243928853267,36.39082876824911,0.8666540577475943
BM3D,0.15,0,33.66153953126864,34.96923939392619,0.9246607880538191
BM3D,0.15,1,29.34519575240899,32.92697404448653,0.8389364269473502
BM3D,0.15,2,34.49203295624001,36.45174889707122,0.8922155690996109
